,final f: 
432,32101024693951.14
433,32101024693947.97
1224,32101024693961.582
1225,32101024693949.832
1226,32101024693948.15
3423,32101024693951.598
3424,32101024693949.23
3425,32101024693951.176
3426,32101024693948.19
3427,32101024693954.17
