,final f: 
434,31892712390620.33
435,31864271417931.152
1227,31905710263122.32
1228,31889116471105.207
1229,31928881353292.656
3428,31937563400082.453
3429,31909471694195.37
3430,31899316951270.176
3432,31898761983788.95
3433,31848080405823.066
