,final f: 
240,2980467920791.3813
241,2980467920791.382
936,2980467920791.382
937,2980467920791.3823
938,2980467920791.3823
2823,2980467920791.3843
2824,2980467920791.3823
2825,2980467920791.382
2826,2980467920791.384
2827,2980467920791.3833
