,final f: 
242,2836562442175.695
243,2827170476588.834
939,2827170476588.8335
940,2836426415682.6323
941,2846067256098.249
2828,2823247467161.3486
2829,2818016091751.402
2830,2833365492670.3564
2831,2827170476588.8384
2832,2812838779277.738
