,final f: 
50,361903366465.01746
51,361903366465.0149
651,361903366465.01215
652,361903366465.0301
653,361903366465.0241
2228,361903366465.0134
2229,361903366465.01263
2230,361903366465.01447
2231,361903366465.0205
2232,361903366465.01294
