,final f: 
178,361903366465.0122
179,361903366465.0121
843,361903366465.01227
844,361903366465.01196
845,361903366465.01196
2678,361903366465.012
2679,361903366465.012
2680,361903366465.0121
2681,361903366465.0121
2682,361903366465.0119
