solver,problem,nodecount,edges,anchors,totaliterations,population,deIteration,distFraction,testcase,time ms :_lbfgs,threads:_lbfgs,iterations:_lbfgs,final f: _lbfgs,fevaluations: _lbfgs,optimizer_lbfgs,time ms :_gd,threads:_gd,iterations:_gd,final f: _gd,fevaluations: _gd,optimizer_gd
OPTIMIZER_MIN_DE,3DRandom1,100,319,100,50000,1,0,0.1,2,57808.421875,128,1038,2980467920791.38,50059,LBFGS,51032.085938,128,2041,2980467920791.66,50009,GD
OPTIMIZER_MIN_DE,3DRandom1,100,319,100,50000,1,0,0.1,3,60379.238281,128,849,2980467920791.38,50035,LBFGS,51034.480469,128,2040,2980467920793.33,50012,GD
OPTIMIZER_MIN_DE,3DRandom1,100,319,100,50000,1,0,0.1,4,57748.136719,128,993,2980467920791.38,50006,LBFGS,51023.21875,128,2040,2980467920792.3,50000,GD
OPTIMIZER_MIN_DE,3DRandom1,100,319,100,50000,5,0,0.1,0,64404.867188,128,1141,2980467920791.38,50002,LBFGS,52560.3125,128,2040,2980467920791.67,50003,GD
OPTIMIZER_MIN_DE,3DRandom1,100,319,100,50000,5,0,0.1,1,62919.902344,128,1229,2980467920791.38,50003,LBFGS,52631.941406,128,2040,2980467920791.81,50009,GD
OPTIMIZER_MIN_DE,3DRandom1,100,319,100,50000,5,0,0.1,2,60160.570312,128,792,2980467920791.38,32663,LBFGS,52107.617188,128,2038,2980467920791.47,50004,GD
OPTIMIZER_MIN_DE,3DRandom1,100,319,100,50000,5,0,0.1,3,64159.691406,128,388,2980467920791.38,15626,LBFGS,52219.632812,128,2040,2980467920791.44,50005,GD
OPTIMIZER_MIN_DE,3DRandom1,100,319,100,50000,5,0,0.1,4,63928.980469,128,423,2980467920791.38,15535,LBFGS,52465.789062,128,2040,2980467920791.62,50007,GD
OPTIMIZER_MIN_DE,3DRandom1,100,319,100,50000,20,0,0.1,0,66409.398438,128,752,2980467920791.38,31644,LBFGS,55214.105469,128,2035,2980467920791.44,50006,GD
OPTIMIZER_MIN_DE,3DRandom1,100,319,100,50000,20,4,0.1,1,72091.859375,128,308,2980467920791.38,10026,LBFGS,55309.582031,128,406,2980469643814.42,10001,GD
OPTIMIZER_MIN_DE,3DRandom1,100,319,100,50000,20,1,0.1,2,66112.632812,128,584,2980467920791.38,25018,LBFGS,54221.066406,128,1019,2980467921825.53,25005,GD
OPTIMIZER_MIN_DE,3DRandom1,100,319,100,50000,20,0,0.1,3,65743.234375,128,571,2980467920791.38,27781,LBFGS,54267.898438,128,2041,2980467920791.52,50001,GD
OPTIMIZER_MIN_DE,3DRandom1,100,319,100,50000,20,0,0.1,4,64546.730469,128,382,2980467920791.38,14157,LBFGS,54204.113281,128,2040,2980467920791.5,50002,GD
OPTIMIZER_MIN_DE,3DRandom1,100,310,100,50000,1,0,0.5,0,60354.433594,128,1183,2836562442175.69,50018,LBFGS,51600.652344,128,2023,2861294988200.29,50018,GD
OPTIMIZER_MIN_DE,3DRandom1,100,310,100,50000,1,0,0.5,1,59737.808594,128,1228,2827170476588.83,50019,LBFGS,51537.234375,128,2022,2817713634364.06,50018,GD
OPTIMIZER_MIN_DE,3DRandom1,100,310,100,50000,1,0,0.5,2,62499.964844,128,977,2827170476588.83,50018,LBFGS,51289.707031,128,2022,2818016215881.52,50013,GD
OPTIMIZER_MIN_DE,3DRandom1,100,310,100,50000,1,0,0.5,3,59945.011719,128,1175,2836426415682.63,50050,LBFGS,51015.074219,128,2024,2812839193869.42,50013,GD
OPTIMIZER_MIN_DE,3DRandom1,100,310,100,50000,1,0,0.5,4,63655.179688,128,775,2846067256098.25,50053,LBFGS,51049.125,128,2027,2842608419331.25,50005,GD
