,final f: 
112,412724564665.19196
113,412724564665.192
744,412724564665.192
745,412724564665.192
746,412724564665.192
2433,412724564665.192
2434,412724564665.192
2435,412724564665.192
2436,412724564665.192
2437,412724564665.192
