read: 30 expected: 30
xCurrent -51326.494096,44203.292940,-4222.960774,-36523.043502,14013.227346,-67007.864753,11907.357854,5564.602956,-3724.531908,-34706.459360,49302.317708,25168.798741,-30547.957556,-17721.046461,-16758.080173,82600.851270,16987.678020,-48892.564632,-2856.033630,59630.438216
xCurrent -28583.618434,121.182295,-20862.834548,-905.886738,12917.830421,-65013.088545,10013.373202,7570.919852,-708.983324,-33690.365222,46270.777492,23579.522856,-34579.245189,-5706.974965,-16302.328800,81847.811258,15812.542569,-48146.860584,-1202.990598,52660.745206
xCurrent -28574.668923,35.729356,8671.372757,-30049.458268,10025.672462,-58365.146829,6666.283791,14630.538792,7176.309154,-27964.901732,35910.570761,19005.217556,-34502.996134,-5632.855695,-13336.394820,76114.651975,-9497.384210,-16143.833616,235.757954,40687.063874
xCurrent -13116.266956,-12578.641390,-9319.148088,76.725893,9542.468223,-53209.775011,11372.859848,-11576.733366,6224.160131,-18162.127239,31259.376129,18309.441235,-34430.446624,-5563.484850,-9783.065620,66839.345001,-6500.375273,-18366.170458,-2475.038979,46548.425597
xCurrent -14032.031991,-12056.454434,-8228.864033,-1305.810829,9168.434818,-49259.270518,8112.910771,11356.096876,6443.485349,-22073.785586,28928.623442,14806.701954,-33454.392333,-5884.734541,-9473.912707,65980.974179,-6402.183294,-17779.295567,1712.452769,28532.583878
xCurrent -15341.762207,-11298.337147,-7024.733401,-1436.527627,8798.432554,-45567.939327,7796.805060,4888.332352,6725.038112,-18809.154617,27242.935722,14527.266765,-31987.112049,-6350.982863,-6365.740122,55575.801886,-6064.801688,-17099.424537,-1004.539192,37887.970528
xCurrent -16002.985898,-10728.424457,-6533.410330,-2137.890979,8526.760815,-42061.802036,6785.826651,9991.530331,6719.051228,-19837.880558,25576.684316,13701.349862,-31074.105954,-6622.347818,-6032.611157,54476.733035,-5720.436525,-16449.630924,529.749644,31985.368957
xCurrent -16777.634409,-9853.064260,-5463.303488,-2286.636823,8199.801215,-38042.171595,6509.579014,3582.280910,6315.399850,-13996.641348,23068.808632,13206.227906,-29736.301051,-6986.828324,-4722.120128,49985.250205,-5028.984291,-15584.637730,409.277446,32293.226471
xCurrent -16845.453955,-9159.425877,-5423.487549,-3273.409007,7800.995563,-32953.291084,6011.201437,11509.220153,6194.498051,-17184.859196,20858.956357,11921.898764,-28905.907223,-7170.497269,-4088.645162,47801.156307,-4515.415305,-14652.421632,1687.780576,25478.634252
xCurrent -16814.936864,-8697.771456,-4613.537091,-2287.999983,7654.170003,-31512.138007,5468.535954,2155.514805,5814.522660,-9919.254214,19667.226507,11888.775816,-28250.359439,-7278.605788,-2971.383234,43483.589501,-4086.567354,-14224.580066,906.851649,28709.474804
xCurrent -16524.138185,-8186.258320,-4984.118418,-3154.655898,7339.860945,-27822.931493,5367.689358,9380.207927,5690.589735,-13150.044252,18136.500447,10839.456780,-27697.958518,-7347.160178,-2642.200431,42229.569403,-3694.060679,-13422.070276,1782.358538,22950.891719
xCurrent -16369.159872,-7857.818085,-4603.956285,-2639.584280,7209.052475,-26659.182359,4942.341163,5073.921199,5460.817123,-10161.040082,17369.232963,10751.771702,-27187.562569,-7385.488367,-2012.436294,39485.562621,-3443.377986,-13013.360127,1409.572075,24722.223192
xCurrent -15874.154530,-7188.585691,-4883.708146,-3245.572626,6858.938548,-23355.148170,4647.124961,8121.342591,5156.904042,-11070.673623,15681.448715,9980.622585,-26264.552554,-7425.786835,-1440.604303,37018.546511,-2969.022595,-12009.496451,1862.148653,21491.757123
xCurrent -15600.526168,-6816.087316,-4335.922903,-2329.978426,6668.467324,-21980.417581,3885.245335,3138.363930,4815.049143,-7344.063429,14676.171295,9811.233664,-25447.946232,-7407.144628,-835.056603,34171.766345,-2685.519953,-11450.650427,1634.561554,22523.983281
xCurrent -15092.867044,-6378.067773,-4854.560620,-2992.077592,6374.947076,-19662.502310,4017.160437,8059.460440,4634.589785,-9035.809900,13412.316624,9029.693914,-24750.647230,-7365.291668,-580.312753,32970.284615,-2389.625719,-10662.049196,2003.522236,18353.364883
xCurrent -14888.870286,-6159.275157,-4307.971902,-2025.779249,6228.115544,-18765.943006,3300.807716,3691.607818,4384.280364,-6354.024309,12802.486297,8966.717016,-24088.375467,-7297.593864,-166.094221,30627.023893,-2240.349685,-10238.331449,1750.494430,19872.603721
xCurrent -14470.583229,-5842.349493,-4692.041190,-2465.619232,6016.878685,-17343.985799,3398.294881,6132.744699,4230.782218,-7196.471404,11985.956331,8513.398720,-23513.223953,-7226.426371,0.312798,29693.275797,-2063.990804,-9643.096885,1882.137054,17695.535381
