,final f: 
48,412724564665.1921
49,412724564665.1921
648,412724564665.19214
649,412724564665.1921
650,412724564665.1921
2223,412724564665.192
2224,412724564665.1921
2225,412724564665.192
2226,412724564665.1921
2227,412724564665.1921
