solver,problem,nodecount,edges,anchors,totaliterations,population,deIteration,distFraction,optimizer,final f: ,testcase
OPTIMIZER_MIN_DE,3DRandom1,1000.0,3455.0,1000.0,50000.0,20.0,1.0,0.5,GD,31866863928913.15,2.0
OPTIMIZER_MIN_DE,3DRandom1,1000.0,3455.0,1000.0,50000.0,5.0,1.0,0.5,LBFGS,31872966184242.387,2.0
OPTIMIZER_MIN_DE,3DRandom1,1000.0,3455.0,1000.0,50000.0,5.0,1.0,0.5,GD,31878003324051.74,2.0
OPTIMIZER_MIN_DE,3DRandom1,1000.0,3455.0,1000.0,50000.0,5.0,0.0,0.5,LBFGS,31886850544074.336,4.5
OPTIMIZER_MIN_DE,3DRandom1,1000.0,3455.0,1000.0,5000.0,20.0,0.0,0.5,LBFGS,31888266558151.6,4.5
OPTIMIZER_MIN_DE,3DRandom1,1000.0,3422.0,1000.0,50000.0,20.0,0.0,0.1,LBFGS,32101024693947.918,4.5
OPTIMIZER_MIN_DE,3DRandom1,1000.0,3422.0,1000.0,50000.0,5.0,0.0,0.1,LBFGS,32101024693948.0,4.5
OPTIMIZER_MIN_DE,3DRandom1,1000.0,3422.0,1000.0,50000.0,1.0,0.0,0.1,LBFGS,32101024693951.305,4.5
OPTIMIZER_MIN_DE,3DRandom1,1000.0,3422.0,1000.0,50000.0,20.0,1.0,0.1,LBFGS,32101024693951.72,2.0
OPTIMIZER_MIN_DE,3DRandom1,1000.0,3422.0,1000.0,50000.0,5.0,1.0,0.1,LBFGS,32101024693955.906,2.0
OPTIMIZER_MIN_DE,3DRandom1,1000.0,3422.0,1000.0,50000.0,20.0,4.0,0.1,LBFGS,32101024701074.05,4.5
OPTIMIZER_MIN_DE,3DRandom1,1000.0,3422.0,1000.0,50000.0,5.0,4.0,0.1,LBFGS,32101024703497.5,4.5
OPTIMIZER_MIN_DE,3DRandom1,1000.0,3422.0,1000.0,50000.0,20.0,0.0,0.1,GD,32101024854002.523,4.5
OPTIMIZER_MIN_DE,3DRandom1,1000.0,3422.0,1000.0,50000.0,5.0,0.0,0.1,GD,32101024857367.957,4.5
OPTIMIZER_MIN_DE,3DRandom1,1000.0,3422.0,1000.0,50000.0,1.0,0.0,0.1,GD,32101024863322.93,4.5
