,final f: 
368,2980467920791.381
369,2980467920791.3813
1128,2980467920791.3813
1129,2980467920791.3804
1130,2980467920791.381
3273,2980467920791.381
3274,2980467920791.381
3275,2980467920791.381
3276,2980467920791.381
3277,2980467920791.381
