,final f: 
560,32101024693948.754
561,32101024693947.83
1416,32101024693947.83
1417,32101024693947.766
1418,32101024693947.67
3850,32101024693947.926
3851,32101024693947.72
3852,32101024693948.17
3853,32101024693947.86
3854,32101024693947.645
